episode,reward
{},801.7100771512945
{},-103.05646573262092
{},802.7126678973832
{},955.9412064353493
{},679.3780272403594
{},841.3736916735004
{},-162.26515386967526
{},628.8905677758853
{},965.0379669208933
{},816.8236629814567
{},854.0256348098277
{},765.8465306968363
{},891.2270811991203
{},928.5122792125143
{},882.8399556551974
{},952.2555354945079
{},947.3709708828513
{},838.0284327140105
{},688.5751636150119
{},934.5771353075221
{},-103.4725384842051
{},-104.07349941935456
{},-127.65477227911717
{},990.6384850738729
{},658.0107695999133
{},953.0268751638657
{},860.7556968707023
{},-152.1570755576978
{},959.7672810033001
{},963.9569349861775
